Site,Transmitter Easting,Transmitter northing,nom_reg,nom_dep,insee_dep,nom_com,insee_com,700MHz,800MHz,900MHz,1800MHz,2100MHz,2600MHz,3500MHz,Capacite_theorique,Capacite_th,Site_Population,Population/Capacity
22283_001,198480.65,2422121.57,BRETAGNE,COTES D ARMOR,22,SAINT CLET,22283,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2713,6.02888888888889
22287_001,212320,2398279,BRETAGNE,COTES D ARMOR,22,SAINT DONAN,22287,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2164,9.01666666666667
22290_001,196222,2371792,BRETAGNE,COTES D ARMOR,22,BON REPOS SUR BLAVET,22107,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1551,6.4625
22304_001,204177.1,2408170.91,BRETAGNE,COTES D ARMOR,22,SAINT JEAN KERDANIEL,22304,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1991,8.29583333333333
22309_003,249440,2369790,BRETAGNE,COTES D ARMOR,22,SAINT LAUNEUC,22309,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,482,2.00833333333333
22321_001,191832.97,2382939.45,BRETAGNE,COTES D ARMOR,22,SAINT NICOLAS DU PELEM,22321,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2416,10.0666666666667
22325_002,219350,2418280,BRETAGNE,COTES D ARMOR,22,SAINT QUAY PORTRIEUX,22325,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3268,7.26222222222222
22333_001,243525,2371285,BRETAGNE,COTES D ARMOR,22,SAINT VRAN,22333,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,256,1.06666666666667
22343_002,165347.63,2435978.82,BRETAGNE,COTES D ARMOR,22,TREBEURDEN,22343,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1687,7.02916666666667
22343_005,167584.24,2435396.62,BRETAGNE,COTES D ARMOR,22,TREBEURDEN,22343,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1493,3.31777777777778
22343_006,167119.33,2436877.06,BRETAGNE,COTES D ARMOR,22,TREBEURDEN,22343,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1335,2.96666666666667
22347_001,192252.02,2436159.03,BRETAGNE,COTES D ARMOR,22,TREDARZEC,22347,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2553,10.6375
22349_001,166674.64,2428033.84,BRETAGNE,COTES D ARMOR,22,TREDREZ LOCQUEMEAU,22349,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1906,4.23555555555556
22353_002,170140.43,2439399.21,BRETAGNE,COTES D ARMOR,22,PLEUMEUR BODOU,22198,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2280,5.06666666666667
22353_003,170626.52,2442025.51,BRETAGNE,COTES D ARMOR,22,TREGASTEL,22353,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1198,4.99166666666667
22359_002,178889,2416268,BRETAGNE,COTES D ARMOR,22,TREGROM,22359,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,640,1.42222222222222
22360_001,224758.95,2399050.94,BRETAGNE,COTES D ARMOR,22,TREGUEUX,22360,4G/5G,,3G,4G,3G,4G,5G,> 1 Gbps,1000,5969,5.969
22364_001,272750,2391610,BRETAGNE,COTES D ARMOR,22,TRELIVAN,22364,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1615,3.58888888888889
22371_001,255667.84,2365596.41,BRETAGNE,COTES D ARMOR,22,TREMOREL,22371,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1133,4.72083333333333
22379_001,182140,2438680,BRETAGNE,COTES D ARMOR,22,TREVOU TREGUIGNEC,22379,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2206,4.90222222222222
