fid,INSEE_COM,NOM_COM,IRIS,CODE_IRIS,NOM_IRIS,TYP_IRIS,mapped,pop_cov,area_cov
58,22055,Étables-sur-Mer,0,220550000,Étables-sur-Mer,Z,57,0.9834,0.9819
59,22056,Évran,0,220560000,Évran,Z,58,0.7772,0.7898
60,22057,Le Faouët,0,220570000,Le Faouët,Z,59,0.4375,0.4278
61,22058,La Ferrière,0,220580000,La Ferrière,Z,60,0.4863,0.7113
62,22059,Le Foeil,0,220590000,Le Foeil,Z,61,0.8799,0.8865
63,22060,Gausson,0,220600000,Gausson,Z,62,0.6335,0.5714
64,22061,Glomel,0,220610000,Glomel,Z,63,0.1933,0.156
65,22062,Gomené,0,220620000,Gomené,Z,64,0.6995,0.7747
66,22063,Gommenec'h,0,220630000,Gommenec'h,Z,65,0.2651,0.2573
67,22064,Gouarec,0,220640000,Gouarec,Z,66,0,0
68,22065,Goudelin,0,220650000,Goudelin,Z,67,0.2704,0.1599
69,22066,Le Gouray,0,220660000,Le Gouray,Z,68,0.1969,0.2404
70,22067,Grâces,0,220670000,Grâces,Z,69,0.9396,0.9267
71,22068,Grâce-Uzel,0,220680000,Grâce-Uzel,Z,70,0.5405,0.3846
72,22069,Guenroc,0,220690000,Guenroc,Z,71,0.2168,0.2594
73,22070,Guingamp,104,220700104,Sud Est,H,72,0.9646,0.9435
74,22070,Guingamp,103,220700103,Nord Ouest,H,73,1,1
75,22070,Guingamp,101,220700101,Centre,H,74,1,1
76,22070,Guingamp,102,220700102,Sud Ouest,H,75,1,1
77,22071,Guitté,0,220710000,Guitté,Z,76,0.2392,0.3473
78,22072,Gurunhuel,0,220720000,Gurunhuel,Z,77,0.4817,0.4949
79,22073,La Harmoye,0,220730000,La Harmoye,Z,78,0.0802,0.0795
80,22074,Le Haut-Corlay,0,220740000,Le Haut-Corlay,Z,79,0.7229,0.7205
81,22075,Hémonstoir,0,220750000,Hémonstoir,Z,80,0.3823,0.3073
82,22076,Hénanbihen,0,220760000,Hénanbihen,Z,81,0.9729,0.9524
83,22077,Hénansal,0,220770000,Hénansal,Z,82,0.8648,0.8678
84,22078,Hengoat,0,220780000,Hengoat,Z,83,0.5517,0.5
85,22079,Hénon,0,220790000,Hénon,Z,84,0.912,0.8833
86,22080,L'Hermitage-Lorge,0,220800000,L'Hermitage-Lorge,Z,85,0.6466,0.8012
87,22081,Hillion,0,220810000,Hillion,Z,86,0.514,0.4876
88,22082,Le Hinglé,0,220820000,Le Hinglé,Z,87,0.5556,0.5644
89,22083,Illifaut,0,220830000,Illifaut,Z,88,0.1526,0.1738
90,22084,Jugon-les-Lacs,0,220840000,Jugon-les-Lacs,Z,89,0.9787,0.9846
91,22085,Kerbors,0,220850000,Kerbors,Z,90,0.471,0.4385
92,22086,Kerfot,0,220860000,Kerfot,Z,91,0.501,0.5235
93,22087,Kergrist-Moëlou,0,220870000,Kergrist-Moëlou,Z,92,0.191,0.0901
94,22088,Kerien,0,220880000,Kerien,Z,93,0.6963,0.7955
95,22090,Kermaria-Sulard,0,220900000,Kermaria-Sulard,Z,94,0.6976,0.7191
96,22091,Kermoroc'h,0,220910000,Kermoroc'h,Z,95,0.0664,0.0769
97,22092,Kerpert,0,220920000,Kerpert,Z,96,0.0745,0.049
98,22093,Lamballe,101,220930101,Lamballe Nord,H,97,0.2464,0.2621
99,22093,Lamballe,103,220930103,St-Aaron-La Poterie-Tregomar,H,98,0.3342,0.3472
100,22093,Lamballe,102,220930102,Lamballe Sud,H,99,0.416,0.3938
101,22093,Lamballe,104,220930104,Maroue Nord,H,100,0.6224,0.6332
102,22093,Lamballe,105,220930105,Maroue Sud,D,101,0.6115,0.6529
103,22094,Lancieux,0,220940000,Lancieux,Z,102,0.1715,0.1971
104,22095,Landebaëron,0,220950000,Landebaëron,Z,103,0.109,0.058
105,22096,Landébia,0,220960000,Landébia,Z,104,0.0554,0.0488
106,22097,La Landec,0,220970000,La Landec,Z,105,0.9518,0.9409
107,22098,Landéhen,0,220980000,Landéhen,Z,106,0.3691,0.4713
108,22099,Lanfains,0,220990000,Lanfains,Z,107,0.5782,0.6394
109,22100,Langast,0,221000000,Langast,Z,108,0.8487,0.8673
110,22101,Langoat,0,221010000,Langoat,Z,109,0.7161,0.7056
111,22102,Langourla,0,221020000,Langourla,Z,110,0.9845,0.9816
112,22103,Langrolay-sur-Rance,0,221030000,Langrolay-sur-Rance,Z,111,0.5705,0.6022
113,22104,Languédias,0,221040000,Languédias,Z,112,0.2745,0.3829
114,22105,Languenan,0,221050000,Languenan,Z,113,0.206,0.093
115,22106,Langueux,101,221060101,Centre Ville Sud,H,114,0.8913,0.8732
116,22106,Langueux,102,221060102,Centre Ville Nord,H,115,0.9125,0.9096
117,22106,Langueux,103,221060103,Zac,A,116,1,1
118,22106,Langueux,104,221060104,Habitat Disperse,H,117,0.8455,0.8547
119,22107,Laniscat,0,221070000,Laniscat,Z,118,0.659,0.5612
120,22108,Lanleff,0,221080000,Lanleff,Z,119,0.2069,0.2418
121,22109,Lanloup,0,221090000,Lanloup,Z,120,0,0
122,22110,Lanmérin,0,221100000,Lanmérin,Z,121,0.9441,0.948
123,22111,Lanmodez,0,221110000,Lanmodez,Z,122,0.1111,0.128
124,22112,Lannebert,0,221120000,Lannebert,Z,123,0.8737,0.8813
125,22113,Lannion,101,221130101,Servel-Begleguer,H,124,0.7779,0.7381
126,22113,Lannion,103,221130103,Park Nevez-Buhulien,H,125,1,1
127,22113,Lannion,107,221130107,Ker Uhel,H,126,1,1
128,22113,Lannion,106,221130106,Brelevenez Centre,H,127,1,1
129,22113,Lannion,108,221130108,Pegase- Le Rhu,A,128,1,1
130,22113,Lannion,105,221130105,Rte de Treguier-Le Rusquet,D,129,0.9557,0.9584
131,22113,Lannion,102,221130102,Rive Gauche,H,130,0.9987,0.9973
132,22113,Lannion,104,221130104,Lannion Centre,H,131,1,1
133,22114,Lanrelas,0,221140000,Lanrelas,Z,132,0.638,0.6749
134,22115,Lanrivain,0,221150000,Lanrivain,Z,133,0.2196,0.1018
135,22116,Lanrodec,0,221160000,Lanrodec,Z,134,0.2817,0.3575
136,22117,Lantic,0,221170000,Lantic,Z,135,0.9028,0.8848
137,22118,Lanvallay,0,221180000,Lanvallay,Z,136,0.7237,0.7478
138,22119,Lanvellec,0,221190000,Lanvellec,Z,137,0.6224,0.6276
139,22121,Lanvollon,0,221210000,Lanvollon,Z,138,0.8552,0.8666
140,22122,Laurenan,0,221220000,Laurenan,Z,139,0.9139,0.9671
141,22123,Léhon,0,221230000,Léhon,Z,140,0.9619,0.9589
142,22124,Lescouët-Gouarec,0,221240000,Lescouët-Gouarec,Z,141,0.0309,0.0069
143,22126,Le Leslay,0,221260000,Le Leslay,Z,142,0.1494,0.1594
144,22127,Lézardrieux,0,221270000,Lézardrieux,Z,143,0.9497,0.9195
145,22128,Locarn,0,221280000,Locarn,Z,144,0.1837,0.1736
146,22129,Loc-Envel,0,221290000,Loc-Envel,Z,145,0.4605,0.4615
