Site_name,Transmitter Easting,Transmitter northing,Transmitter height,abs_pop,abs_area
44072_001,248824.15,2283079.26,30.2,2538,25.5025
44175_001,249075,2276110,14.95,1038,8.505
44184_027,249150,2259075,24.5,1905,24.7575
44132_001,249199.13,2262083.31,39.5,1272,15.3775
22309_003,249440,2369790,27,309,33.9725
56153_003,249560,2298390,38,553,26.4375
56123_002,249834,2309595,24,1045,23.8625
44184_021,249870,2265220,40,1253,16.0075
85163_001,250022.04,2233762.97,25,2127,81.9075
44184_026,250480,2260260,23.4,2281,7.17
22179_002,250592.57,2415227.63,15,693,53.2775
56147_001,250975,2290600,37,3157,46.8275
44184_001,251470,2261423.05,29.5,1851,5.5175
22076_001,251647.02,2405360.49,32,1069,50.89
56123_001,251734,2308440,20.1,1081,18.4775
85106_001,251789.24,2229423.99,31.45,2620,110.335
44184_005,252374.29,2261453.56,30.2,2577,1.21
44184_004,252415.08,2263824.97,25.3,2398,8.3275
22179_004,252715.62,2413174.84,27,1649,25.0925
85163_004,252774.31,2233359.71,21,3240,37.395
22051_001,253600,2386206,32.7,1181,62.9375
44184_017,253701.01,2262396.04,25,1196,0.5825
56028_001,253754.78,2302356.01,26.8,911,37.225
44184_009,253959.97,2261638.97,18,3532,1.135
56145_003,253978.04,2347587.64,36.1,487,39.31
44184_014,254164.94,2260910.02,32.05,2056,32.1325
44030_001,254285,2281737,21.4,2272,20.0925
44184_010,254320.01,2263355.14,28.25,5263,3.695
44184_007,254546.08,2261361.31,20.3,2509,5.5625
44184_019,254656.96,2262314.96,21.15,2712,1.21
44184_029,254664.52,2265264.11,21.1,1365,8.8125
44126_002,255320,2247220,19.8,2105,83.175
22084_005,255450,2389970,23,786,16.6675
44184_018,255532.75,2262551.26,13.2,1759,0.39
56200_001,255629,2324349,24.7,992,54.8525
44184_008,255651.87,2263304.67,21.8,3448,0.795
22371_001,255667.84,2365596.41,30.5,799,53.44
44210_001,256187.71,2263807.1,20,1653,0.7625
56032_001,256265,2337330,38.5,1388,54.0225
44210_004,256325.3,2265602.74,21.5,2024,6.495
56127_001,256340,2353800,36.8,1711,42.91
44184_002,256363.13,2262901.55,20.5,3400,2.045
85011_001,256865,2225605,18,1441,61.8525
22084_006,256978.01,2391169.99,33,536,37.8975
56221_001,257380,2308120,32.9,931,31.0725
44126_001,257473,2248790,21.8,2794,39.37
44184_028,257600,2263146,19.4,1026,10.275
