Name,Easting,Northing,Height,Population,Area
35135_001,281850,2369050,21,1154,14265
35023_001,282050,2362425,24,2943,14609
22056_001,283112.51,2386060.84,42,1974,24371
22197_003,283174,2398847,35.73,2346,14009
35288_002,283176,2415774,29,4888,31526
35284_001,283353,2409266,23,2742,5755
35306_001,284168,2403696,31,2592,11679
35308_001,284780,2390559,34,1285,10305
35149_002,285159,2338578,34,1316,17092
35040_001,285332,2358382,24,1866,9910
35127_001,285890,2329470,36,1385,19288
35179_002,286089,2401411,37,795,5955
35145_003,286300,2314635,23,709,16462
35299_001,286563,2411691,45,3623,24640
35037_002,286680,2346570,18,2585,10464
35080_001,286720,2354200,21,2268,7550
35245_001,287526,2365065,27,2360,14071
35129_001,287643,2322809,37,3160,24694
35263_001,287760,2415990,28,1795,10886
35179_003,287833,2398198,27,1505,3690
35265_001,288391,2381855,31,1822,15170
35123_001,288900,2342120,31,1803,8317
35275_001,289460,2359895,28,2707,9951
35196_001,289602,2349894,39,4115,11042
35246_002,290480,2402314,27,1700,10891
35049_001,290812,2418215,22,2951,29414
35312_002,291625,2332097,29,1674,11798
35126_003,291685,2336969,34,3684,16858
35131_002,291776,2354172,30,4138,8588
35233_001,291780,2379220,25,2257,11849
35362_001,292125,2397300,24,921,7692
35172_002,292128,2390823,32,428,7225
35132_001,292222,2408252,26,2603,14967
35123_003,292266,2341422,19,1664,7059
35130_001,292320,2374060,32,1706,16361
35147_002,292335,2393692,32,609,4960
35240_001,292671,2351556,27,2705,4227
35120_001,292892,2366825,23,3404,14638
35076_001,293450,2347955,18,1848,4006
35221_002,294357,2328550,32,1199,10510
35210_001,295108,2357817,31,5483,7729
35353_003,295500,2355273,25,2049,4033
35361_001,295985,2407939,23,1843,32015
35353_002,296133,2353326,17,602,1971
35124_001,296267,2310670,30,1585,32252
35012_004,296420,2324950,38,674,15019
35085_003,296774,2389209,35,1704,21117
